feature_names,importance
wap_mean,869.807866448164
volume_imbalance_mean_300,1374.4044674754143
bid_spread_mean_300,1532.258110368252
wap_mean_300,1659.3490502476693
trade_size_sum_300,1911.266377145052
total_volume_mean_300,2334.345230215788
trade_order_count_mean_300,2492.2608736276625
trade_size_sum,2956.273180270195
bid_spread_mean,3450.450832897425
wap_balance_mean,4027.133590781689
wap_balance_mean_300,4933.089563500881
stock_id_target_enc,6003.7951494574545
ask_spread_mean_300,6186.125251710415
total_volume_mean,7557.516268992424
trade_seconds_in_bucket_count_unique,8267.62587943077
trade_order_count_mean,9519.321164309978
trade_seconds_in_bucket_count_unique_300,11795.43923434019
volume_imbalance_mean,13739.04109596014
price_spread_mean_300,14587.794110882282
price_spread_mean,16436.259678196908
ask_spread_mean,22804.07312269211
trade_log_return_realized_volatility_300,31641.018256139756
trade_log_return_realized_volatility,35317.04896833897
stock_id,84499.0692025423
log_return2_realized_volatility_300,116204.13272464275
log_return2_realized_volatility,301278.1643892646
log_return_realized_volatility_300,778607.5469203771
log_return_realized_volatility,2920851.5017076433
